stn,year,quarter,visib,wdsp,temp,prcp,provgb,CNT
501360,2011,1,11.686666,2.77,-4.2522221,.011666667,23,0
501360,2011,2,12.061538,3.8505495,47.936264,.061428573,23,0
501360,2011,3,11.142391,3.1500001,57.191303,.11565217,23,0
501360,2011,4,12.043478,2.6434784,5.7271738,.014456522,23,0
501360,2012,1,11.73956,2.4263737,-10.448352,.0029670328,23,0
501360,2012,2,11.450549,4.4417582,48.421978,.05065934,23,0
501360,2012,3,11.075,3.2663045,57.886955,.16184783,23,0
501360,2012,4,11.907608,2.2978261,2.4195652,.012173912,23,0
501360,2013,1,11.804444,2.7466667,-10.011111,.006111111,23,0
501360,2013,2,11.781319,4.375824,48.052746,.085604392,23,0
501360,2013,3,11.382418,3.3450549,56.993408,.17659341,23,0
501360,2013,4,12.146739,3.3785715,10.08913,.064891309,23,0
501360,2014,1,11.622222,3.2410958,-7.0100002,.0024444445,23,0
501360,2014,2,12.351648,4.5659342,51.116482,.04857143,23,0
501360,2014,3,12.01236,3.6857142,57.957142,.12373626,23,0
501360,2014,4,11.544565,3.6790123,2.7250001,.065326087,23,0
501360,2015,1,12.133333,3.3362501,-.61666673,.053444445,23,0
501360,2015,2,12.173626,4.7538462,46.673626,.085714288,23,0
501360,2015,3,12.192391,3.3336957,59.280434,.13956521,23,0
501360,2015,4,9.7108698,3.4304347,5.1293478,.27648351,23,0
501360,2016,1,11.142858,3.8307693,-3.0681319,.0096703293,23,0
501360,2016,2,15.186813,4.9351649,46.253845,.099670328,23,0
501360,2016,3,13.888043,3.8804348,57.883698,.09902174,23,0
501360,2016,4,10.647826,3.1793478,-.51847827,.015760869,23,0
501360,2017,1,12.51,3.7366667,1.1155555,.0022222223,23,0
501360,2017,2,16.516483,5.39011,48.759342,.054777779,23,0
501360,2017,3,13.911957,4.2619567,58.201088,.13681318,23,0
501360,2017,4,11.941304,2.9456522,2.2065217,.11824176,23,0
501360,2018,1,10.605556,3.05,-6.332222,.25788888,23,0
501360,2018,2,15.845055,4.6340661,48.665936,.069230773,23,0
501360,2018,3,14.414445,3.7382023,58.701111,.1341573,23,0
501360,2018,4,12.252326,3.0435295,6.6558142,.3123256,23,0
501360,2019,1,12.92,3.1488888,.50999999,.0055294116,23,0
501360,2019,2,16.097803,4.710989,47.830769,.14023809,23,0
501360,2019,3,13.443479,3.6597826,57.61739,.15714286,23,0
501360,2019,4,11.976087,3.2271738,3.1358695,.021847825,23,0
501360,2020,1,11.387912,2.7670329,.71428567,.0092222225,23,0
501360,2020,2,16.937363,4.5428572,47.627472,.032637361,23,0
501360,2020,3,11.2,3.0999999,68.900002,0,23,0
503530,2011,1,11.837778,2.3500001,2.8533332,.0092222225,23,0
503530,2011,2,12.318681,3.7219779,53.252747,.072637364,23,0
503530,2011,3,12.044565,3.2250001,64.452171,.093369566,23,0
503530,2011,4,12.134783,2.1956522,13.155435,.015652174,23,0
503530,2012,1,11.708791,1.9549451,-4.2538462,.0029670328,23,0
503530,2012,2,12.041758,3.7989011,54.610989,.076483518,23,0
503530,2012,3,12.042391,2.6673913,63.448914,.10532609,23,0
503530,2012,4,11.972826,2.3423913,9.7304344,.026413044,23,0
503530,2013,1,12.042222,4.8244443,-7.458889,.0083333328,23,0
503530,2013,2,11.927472,6.6131868,52.050549,.065384619,23,0
503530,2013,3,11.704395,5.4087911,61.565933,.21021977,23,0
503530,2013,4,11.568479,6.5586667,13.370652,.0088043474,23,0
503530,2014,1,11.193334,5.2106667,-4.5355558,.0048888889,23,0
503530,2014,2,12.241758,6.9351649,55.643955,.043846153,23,0
503530,2014,3,11.52159,5.1285715,62.403297,.10538462,23,0
503530,2014,4,11.569565,6.5839505,9.2413044,.0125,23,0
503530,2015,1,11.342222,5.573494,4.8866668,.12655555,23,0
503530,2015,2,12.198901,7.1230769,51.096703,.083846152,23,0
503530,2015,3,11.963736,4.6923914,63.593479,.089891307,23,0
503530,2015,4,11.357609,5.2086959,10.71087,.24923913,23,0
503530,2016,1,14.464835,5.7274723,.34505495,.0053846156,23,0
503530,2016,2,16.732967,7.1021976,50.809891,.074725278,23,0
503530,2016,3,15.983696,5.5565219,62.347824,.097826086,23,0
503530,2016,4,15.030435,5.2576089,3.2608697,.022934783,23,0
503530,2017,1,15.36,6.0483146,3.541111,.003111111,23,0
503530,2017,2,17.84066,8.1087914,53.026375,.075274728,23,0
503530,2017,3,15.802174,5.3358698,62.465218,.12369565,23,0
503530,2017,4,16.091305,5.8252749,8.0043478,.022500001,23,0
503530,2018,1,14.736667,5.521111,-2.748889,.0051685395,23,0
503530,2018,2,17.712088,7.6747255,52.706593,.041428573,23,0
503530,2018,3,16.277779,5.2662921,62.435555,.14177778,23,0
503530,2018,4,15.310588,5.5906978,11.475581,.021627907,23,0
503530,2019,1,15.027778,5.2764044,2.5022223,.003372093,23,0
503530,2019,2,17.838461,7.3912086,51.895603,.05390244,23,0
503530,2019,3,15.272826,5.5043478,61.761955,.15056179,23,0
503530,2019,4,13.942391,5.5467391,6.1663046,.019111112,23,0
503530,2020,1,12.457143,4.2208791,.69890112,.0067032967,23,0
503530,2020,2,16.707693,7.2274723,51.686813,.050000001,23,0
503530,2020,3,11.8,5.0999999,74.699997,0,23,0
504340,2011,1,18.107779,4.0511112,-7.6777778,.0051111109,15,0
504340,2011,2,17.792309,4.8868132,46.064835,.060109891,15,0
504340,2011,3,16.434782,4.0967393,56.063046,.12619565,15,0
504340,2011,4,18.155436,3.6760869,4.1728263,.01673913,15,0
504340,2012,1,18.184616,3.4296703,-12.953846,.0058241757,15,0
504340,2012,2,17.913187,5.3219781,46.900002,.078901097,15,0
504340,2012,3,17.158695,3.9434783,56.467392,.12130435,15,0
504340,2012,4,17.648912,3.7663045,2.995652,.010217391,15,0
504340,2013,1,17.752222,3.8522222,-12.078889,.0083333338,15,0
504340,2013,2,17.401098,4.6318684,45.717583,.11978022,15,0
504340,2013,3,16.524176,4.2626376,55.156044,.24252747,15,0
504340,2013,4,18.105434,3.8021739,10.940217,.0095652174,15,0
504340,2014,1,17.884445,3.7393258,-4.8544445,.0058888886,15,0
504340,2014,2,18.202198,4.9780221,48.402199,.073076926,15,0
504340,2014,3,17.328091,4.1076922,54.994507,.15791209,15,0
504340,2014,4,17.67174,3.9130435,5.6326089,.018241758,15,0
504340,2015,1,10.882222,4.0655556,.1866667,.047752809,15,0
504340,2015,2,14.510989,5.5736265,44.98901,.080444448,15,0
504340,2015,3,11.8,3.701087,57.270653,.16456522,15,0
504340,2015,4,12.32826,4.195652,8.5500002,.25880435,15,0
504340,2016,1,10.842857,4.0637364,-3.7263737,.030222222,15,0
504340,2016,2,15.501099,4.9098902,45.195606,.12466667,15,0
504340,2016,3,14.275,4.1271739,57.665218,.10782608,15,0
504340,2016,4,12.496739,3.3869565,1.3576087,.26651686,15,0
504340,2017,1,13.112223,3.7877779,-1.7233334,.066477276,15,0
504340,2017,2,16.059341,5.586813,47.299999,.070333332,15,0
504340,2017,3,14.676087,4.6576085,56.468479,.08791209,15,0
504340,2017,4,13.519566,3.4586957,.75652182,.15543479,15,0
504340,2018,1,12.082222,3.8022223,-9.0555553,.021724138,15,0
504340,2018,2,16.835165,5.4846153,47.848351,.04945055,15,0
504340,2018,3,13.896629,4.6292133,57.269665,.15264368,15,0
504340,2018,4,14.775581,4.1546512,8.7965117,.12744185,15,0
504340,2019,1,15.193334,3.8177779,-1.7266667,.34697676,15,0
504340,2019,2,17.321978,5.8527474,45.771427,.031058824,15,0
504340,2019,3,13.530435,4.1163044,56.270653,.15818182,15,0
504340,2019,4,14.931521,3.8130436,3.1195652,.018111112,15,0
504340,2020,1,13.815385,3.632967,-2.2703297,.0071111112,15,0
504340,2020,2,17.135164,5.6109891,46.757141,.068333335,15,0
504340,2020,3,16.700001,2.9000001,66.599998,0,15,0
504680,2011,1,12.212222,4.6511111,4.998889,.00088888884,23,0
504680,2011,2,12.30989,5.5769229,53.62088,.079340659,23,0
504680,2011,3,12.201087,4.7173915,65.452171,.08847826,23,0
504680,2011,4,12.152174,5.0380435,17.25,.014239131,23,0
504680,2012,1,12.281319,4.6054945,-.69780213,.0045054946,23,0
504680,2012,2,12.212088,5.4714284,55.240658,.078571431,23,0
504680,2012,3,12.234782,4.4130435,64.157608,.15467392,23,0
504680,2012,4,12.068478,3.9065218,12.655435,.04902174,23,0
504680,2013,1,12.202222,4.7811112,-1.58,.012222222,23,0
504680,2013,2,12.165934,5.4571428,53.117584,.1,23,0
504680,2013,3,12.162637,4.6989012,63.475822,.25362638,23,0
504680,2013,4,12.090218,5.3554349,19.15,.030978261,23,0
504680,2014,1,12.036667,4.5300002,2.6133335,.0073333331,23,0
504680,2014,2,12.228571,5.4428573,57.052746,.044285715,23,0
504680,2014,3,12.192135,4.3912086,64.395607,.12582417,23,0
504680,2014,4,11.931521,4.978261,13.890218,.027717391,23,0
504680,2015,1,11.937778,4.8744445,9.1800003,.054555554,23,0
504680,2015,2,12.326373,5.7131867,53.152748,.041648351,23,0
504680,2015,3,12.230769,3.9630435,65.615219,.12228261,23,0
504680,2015,4,11.843478,4.8891306,17.630434,.21175824,23,0
504680,2016,1,12.047777,4.6362638,6.2098904,.68285716,23,0
504680,2016,2,14.597802,5.7241759,52.737362,.10681318,23,0
504680,2016,3,14.596739,4.777174,65.133698,.10771739,23,0
504680,2016,4,11.933696,4.6706524,10.468478,.032065216,23,0
504680,2017,1,12.315556,5.3155556,9.833333,.09193182,23,0
504680,2017,2,16.362637,6.4505496,54.758244,.094606742,23,0
504680,2017,3,15.423913,4.695652,64.635872,.13988888,23,0
504680,2017,4,13.223077,5.146739,12.685869,.44736263,23,0
504680,2018,1,12.85,5.1166668,3.4588888,.063181818,23,0
504680,2018,2,16.523077,5.8098903,54.902199,.13044944,23,0
504680,2018,3,16.695555,4.6844444,65.055557,.16561797,23,0
504680,2018,4,13.736047,4.9976745,19.186047,.37329412,23,0
504680,2019,1,14.081111,5.1900001,10.282222,.71892858,23,0
504680,2019,2,16.998901,6.1439562,53.073627,.095487803,23,0
504680,2019,3,15.053261,4.4913044,63.794563,.22284091,23,0
504680,2019,4,13.679348,4.8510871,13.132608,.022333333,23,0
504680,2020,1,13.313187,4.3879123,8.5494509,.0037362638,23,0
504680,2020,2,15.856044,5.9021978,53.104397,.15582417,23,0
504680,2020,3,16.200001,4.1999998,76.800003,0,23,0
505270,2011,1,12.01,8.1777782,-5.5511112,.0034444444,15,0
505270,2011,2,13.163736,9.3549452,52.146152,.029230768,15,0
